
Epoch:   0%|                                                                                                                   | 0/5 [00:00<?, ?it/s]
0 183 	| 2.0566 	| 0.3125 	| tensor([ 2,  8,  3,  2,  6,  8, 11,  8, 11, 11], device='cuda:0')
0 184 	| 1.8153 	| 0.3438 	| tensor([ 5, 11, 12, 13,  6,  5,  0, 10,  8, 11], device='cuda:0')
0 185 	| 1.6132 	| 0.5312 	| tensor([13,  9,  5,  2, 12,  8,  5,  2, 11, 10], device='cuda:0')
0 186 	| 1.6578 	| 0.375 	| tensor([ 7,  7,  8,  8, 11, 13,  4, 10,  5,  8], device='cuda:0')
0 187 	| 2.3865 	| 0.2188 	| tensor([ 8,  0,  2,  2, 14,  5, 10,  0, 12,  7], device='cuda:0')
0 188 	| 2.2151 	| 0.125 	| tensor([11, 12, 11,  7,  9,  5,  8,  7, 14,  9], device='cuda:0')
0 189 	| 2.4602 	| 0.2812 	| tensor([ 1,  0, 10,  8,  2,  7,  0, 13,  8,  0], device='cuda:0')
0 190 	| 1.5425 	| 0.375 	| tensor([ 4,  2,  8, 11,  7,  2,  7, 14, 10,  7], device='cuda:0')
0 191 	| 1.7692 	| 0.5 	| tensor([ 4,  7,  7,  9, 12,  8,  8,  5,  2,  6], device='cuda:0')
0 192 	| 1.8218 	| 0.2812 	| tensor([ 3, 14,  8, 10,  7,  0,  0,  5,  7,  2], device='cuda:0')
0 193 	| 1.9754 	| 0.3438 	| tensor([14,  2, 12, 14, 14, 14,  1,  8,  9, 12], device='cuda:0')
0 194 	| 2.6656 	| 0.1875 	| tensor([14,  8,  8,  8,  6,  8, 14,  0,  8,  8], device='cuda:0')
0 195 	| 1.9948 	| 0.4062 	| tensor([ 8,  0,  2,  6,  9,  5,  0, 14, 14, 14], device='cuda:0')
0 196 	| 1.7071 	| 0.3438 	| tensor([ 2,  8, 14,  2,  8,  8,  3, 10,  3,  3], device='cuda:0')
0 197 	| 2.0336 	| 0.2812 	| tensor([13,  5,  3,  8,  1,  7,  2,  2, 14,  4], device='cuda:0')
0 198 	| 2.1719 	| 0.3438 	| tensor([14, 10,  1, 14,  1,  1,  9,  0,  6, 13], device='cuda:0')
0 199 	| 2.0437 	| 0.3438 	| tensor([14,  2, 14,  5, 14, 10,  9, 12,  0, 12], device='cuda:0')
0 200 	| 1.5096 	| 0.4375 	| tensor([ 2, 13,  2,  1,  3, 12,  5,  9,  0, 14], device='cuda:0')
0 201 	| 2.0781 	| 0.3438 	| tensor([ 1, 12, 14,  2,  7, 12, 13, 14,  0,  1], device='cuda:0')
0 202 	| 1.9661 	| 0.4062 	| tensor([ 2, 12, 12, 10,  1, 14, 14, 11,  9, 14], device='cuda:0')
0 203 	| 2.2991 	| 0.3125 	| tensor([ 3, 12,  9, 11, 12, 13,  5, 12,  3, 14], device='cuda:0')
0 204 	| 1.781 	| 0.375 	| tensor([ 5,  3,  3, 10,  2,  2, 10, 11, 13, 13], device='cuda:0')
0 205 	| 2.0041 	| 0.2812 	| tensor([ 0, 13,  4,  5,  6,  3, 12, 14, 12,  3], device='cuda:0')
0 206 	| 2.112 	| 0.375 	| tensor([13,  0,  0,  3,  7,  2,  0, 10,  0,  5], device='cuda:0')
0 207 	| 1.657 	| 0.5 	| tensor([ 0,  3,  6, 14,  2,  3, 13,  0,  5,  3], device='cuda:0')
0 208 	| 2.1682 	| 0.5312 	| tensor([12,  2,  3,  4,  0, 11, 11, 11,  4, 11], device='cuda:0')
0 209 	| 1.7695 	| 0.375 	| tensor([12, 11,  2,  3,  5, 13,  7,  3,  3,  3], device='cuda:0')
